,職稱,更新日期,薪資待遇,公司名稱,工作性質,公司地址
501,IC設計實體驗證工程師 ,11/16,待遇面議,旺世達科技股份有限公司,全職,台北市信義區基隆路1段432號
502,AI數據工程師. ,11/13,"月薪35,000~60,000元",永慶房產集團_永慶房屋仲介股份有限公司,全職,台北市大安區敦化南路二段77號12樓
503,國衛院「AI生醫資訊創新研究暨應用平台」誠徵博士後研究員 ,10/25,"月薪62,000元以上",財團法人國家衛生研究院,全職,苗栗縣竹南鎮
504,Deep Learning Engineer/Sr./Principal Engineer ,11/17,待遇面議,新馳科技股份有限公司,全職,台北市信義區市民大道六段288號10樓之9 (松山車站)
505,IoT工程師_新竹_01067 ,11/16,"月薪37,000~60,000元",緯創資通股份有限公司,全職,新竹市新竹科學園區新安路5號
506,跨境電商專員 ,11/17,"月薪40,000~60,000元",美德向邦股份有限公司,全職,台北市信義區松高路9號11樓
507,【G】全端工程師 ,11/16,待遇面議,富智康國際股份有限公司(鴻海集團),全職,新北市土城區民生街4號
508,儲能軟體工程師(南部) ,11/02,待遇面議,儲盈科技股份有限公司,全職,台南市歸仁區沙崙綠能園區
509,【cacaFly】雲端智能中心-雲端架構師 (Cloud Architect) ,11/16,"年薪1,200,000~2,000,000元",聖洋科技股份有限公司,全職,台北市大安區基隆路二段172之1號
510,"Software Engineer, Backend Development ",11/15,待遇面議,沛星互動科技股份有限公司,全職,台北市信義區松仁路123號6樓
511,國立臺北科技大學智慧鐵道產業人才學院研發中心研究人員 ,11/12,待遇面議,國立臺北科技大學,全職,台北市大安區忠孝東路三段46號
512,應用軟體開發工程師 SW Application Engineer ,11/14,待遇面議,力旺電子股份有限公司,全職,新竹縣竹北市台元一街5號8樓
513,Deep Learning Internship ,11/16,時薪176元以上,聯發科技股份有限公司,兼職,台北市大安區
514,【採線上面談】Data Analyst 資料分析師 ,11/09,"月薪50,000~90,000元",新加坡商鈦坦科技股份有限公司台灣分公司,全職,台北市南港區台北市南港區園區街3之1號11樓之1（南港軟體園區G棟）
515,資料分析師 (Data Analyst) ,11/16,"月薪35,000~55,000元",亞洲指標數位行銷顧問股份有限公司,全職,台北市松山區敦化北路214號3樓
516,遊戲測試/遊戲自動化測試工程師 ,11/17,待遇面議,鼎順數位科技有限公司,全職,台中市西區
517,機器學習工程師-學生實習 Machine Learning Engineer(Intern) ,11/15,時薪190元以上,聚典資訊股份有限公司,兼職 - 長期工讀,台北市南港區園區街3-2號9樓0912室
518,RD20414 影像辨識與數據分析工程師(智慧製造) ,11/08,待遇面議,華碩電腦股份有限公司,全職,台北市北投區
519,定期契約專任助理(資訊-AI工程師) ,10/31,"月薪44,300元以上",臺中榮民總醫院,全職,台中市西屯區臺灣大道四段1650號
520,後端工程師 ,11/13,待遇面議,晶睿通訊股份有限公司_台達電子集團,全職,新北市中和區連城路
521,【薪優】AI工程師(中華工程) ,11/14,待遇面議,中國石油化學工業開發股份有限公司,全職,台北市松山區東興路12號6樓
522,Quantitative Researcher 量化研究員 ,11/15,待遇面議,奧碼科技股份有限公司,全職,台北市信義區信義路五段150巷2號13樓之7
523,光子線路模擬研發工程師 ,11/07,"月薪48,000元以上",恩萊特科技股份有限公司,全職,新竹縣竹北市復興三路二段168號6樓之一
524,【高雄】Machine Learning Engineer (NLP) 機器學習工程師（自然語言處理）(23090101) ,10/12,待遇面議,叡揚資訊股份有限公司,全職,高雄市前鎮區中山二路９１號３樓
525,MIS程式設計師 ,11/14,待遇面議,鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,全職,新北市土城區自由街2號
526,【日本東京】各類工程師招募（赴日本工作/線上面試/在台可應徵） ,11/16,待遇面議,株式会社シエス情報,全職,日本110-0015 東京都台東区東上野1-10-1 SK-BLD 2F
527,風險_個金風險規劃分析人員 ,11/16,待遇面議,中國信託商業銀行股份有限公司,全職,台北市南港區經貿二路168號(中國信託南港總部)
528,【數位驅動】中台發展軟體測試工程師/ Assurance Engineer (數數發，DDT) ,11/17,"月薪38,000~70,000元",國泰世華商業銀行股份有限公司_人力資源部,全職,台北市信義區
529,後端軟體工程師 Back-End Software Engineer ,11/10,待遇面議,肚肚股份有限公司,全職,高雄市前鎮區成功二路25號12樓
530,CRM數據分析專員 ,10/04,待遇面議,日崚有限公司,全職,新北市新店區北新路三段221號6樓（台北矽谷二期）
531,系統運維專員(海外廠) ,11/14,待遇面議,香港商偉得國際有限公司台灣分公司,全職,雲林縣斗六市
532,[行政]企劃處/數據分析專員 ,11/07,"月薪40,000~42,000元",醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,全職,新北市板橋區南雅南路二段21號
533,【學期實習】Software Engineer - Deep Learning and Computer Vision ,11/15,時薪240~280元,威盛電子股份有限公司,兼職 - 長期工讀、短期工讀,新北市新店區
534,台南廠-數據分析開發工程師 ,11/01,"月薪39,000元以上",南茂科技股份有限公司,全職,台南市新市區南科七路五號
535,資料科學家/儲備主管 ,11/16,"月薪35,000~75,000元",豐達科技股份有限公司,全職,桃園市平鎮區太平東路1號
536,【研究發展處】SQA Engineer / 軟體測試工程師 (QA Department) ,11/16,待遇面議,現觀科技股份有限公司,全職,台北市中山區中山北路二段42號2樓
537,Toolchain-Debugger/軟體工程師 ,11/13,待遇面議,晶心科技股份有限公司,全職,新竹市公道五路三段1號10樓
538,【機器學習工程師】Machine Learning Engineer ,10/09,待遇面議,POSITIVE GRID_佳格數位科技有限公司,全職,台北市中山區長春路176號11樓
539,資訊工程師 ,11/16,"月薪45,000~65,000元",永佳捷科技股份有限公司,全職,桃園市觀音區崙坪村8鄰140號(距桃園高鐵站車程10分鐘)
540,Software Engineer 軟體工程師 ,11/02,待遇面議,鼎翰科技股份有限公司,全職,新北市新店區民權路95號9樓
541,Senior AI工程師 (街口金融科技) ,11/16,待遇面議,街口電子支付股份有限公司,全職,台北市松山區長安東路二段225號8樓(C棟)
542,AI應用工程師 ,11/07,待遇面議,億集創見應用科技股份有限公司,全職,台中市西區臺灣大道二段239號7樓之4
543,資料視覺化管理/資料分析專員 ,11/15,待遇面議,聚和國際股份有限公司,全職,高雄市大寮區大發工業區華東路28號
544,Backend Engineer ,11/13,待遇面議,巴旺塞柏德克有限公司,全職,台北市中山區北安路780號5樓之1
545,內控軟體工程師 ,11/14,待遇面議,亨俐貝爾有限公司,全職,台北市松山區
546,[RD] 物聯網資料架構師 AIoT Data Architect (hybrid) ,11/15,"年薪2,000,000元以上",慧景科技股份有限公司,全職,台北市中正區思源街18號A棟406室
547,【資訊部】電商後端工程師 Junior Backend Engineer （Spring-boot） ,10/25,"月薪40,000~50,000元",Shopping99_耐德科技股份有限公司,全職,台北市中正區博愛路38號4樓
548,資深後端工程師 ,11/13,"月薪60,000~120,000元",同步科技股份有限公司,全職,台北市松山區敦化南路一段25號7樓
549,開發程式設計師 ,11/13,"月薪60,000~90,000元",鴻宇科技服務有限公司,全職,台北市內湖區台北市內湖區內湖路一段360巷8號8樓
550,測試資深工程師_電動車充電樁(中壢) ,11/14,待遇面議,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,全職,桃園市中壢區東園路16號
551,機率工程師 ,11/16,待遇面議,瑞典商幸生軟體股份有限公司台灣分公司,全職,台北市信義區信義路五段7號42樓（台北101）
552,金融計量交易員 Quantitative Trader ,11/16,"年薪800,000~1,200,000元",領先創新科技股份有限公司,全職,台北市松山區敦化南路一段 (近小巨蛋)
