,職稱,更新日期,薪資待遇,公司名稱,工作性質,公司地址
2605,Information Technology Engineer ,11/14,待遇面議,聯齊科技股份有限公司,全職,台北市南港區南港路三段47巷8號11樓
2606,IoT工程師_汐止/林口/新店 ,10/19,待遇面議,GARMIN_台灣國際航電股份有限公司,全職,新北市林口區華亞二路270號
2607,軟體工程師 ,11/15,待遇面議,台聚集團_台聚管理顧問股份有限公司,全職,台北市內湖區基湖路37號
2608,策略發展_數據智能人員 ,11/08,"月薪37,000元以上",O-Bank_王道商業銀行股份有限公司,全職,台北市內湖區堤頂大道二段99號
2609,AI演算法工程師 ,11/13,待遇面議,國立成功大學_創新數位內容研究中心,全職,台南市北區小東路15號(國立成功大學 力行校區)
2610,AI 軟體工程師 ,10/02,"月薪45,000~100,000元",賽微科技股份有限公司,全職,新北市新店區中興路二段188號8樓
2611,[AI] 網路管理工程師 / Network Infrastructure Engineer (士林) ,11/15,"月薪60,000~200,000元",Inventec_英業達股份有限公司,全職,台北市士林區承德路四段166號
2612,Electronic Test Engineer (工作地點：新竹湖口) ,11/15,待遇面議,印度商威普羅股份有限公司台灣分公司,全職,新竹縣湖口鄉
2613,Fullstack Engineer 全端工程師(Django) / [E01] ,11/15,"年薪1,200,000元以上",台北派兒有限公司,全職,台北市大同區南京西路18巷10號2樓
2614,(實習工讀) 前端工程師_櫛構科技股份有限公司(桃園青年實務訓練及職場對接計畫) ,11/14,時薪176元以上,【企業專案招募】104未來無限整合招募中心,兼職,桃園市桃園區
2615,FAE工程師_230013 ,08/23,待遇面議,原相科技股份有限公司,全職,新竹市創新一路5號
2616,前端開發工程師 ,11/13,待遇面議,翔隆航太股份有限公司,全職,新北市新莊區五權一路一號五樓之四
2617,應用系統開發工程師 ,11/15,"月薪35,000~40,000元",綠光能數位有限公司,全職,台北市中山區長安東路二段178號5樓之2
2618,資訊系統軟體工程師-證基會 ,11/17,"月薪50,000~65,000元",財團法人中華民國證券暨期貨市場發展基金會,全職,台北市中正區南海路3號9F
2619,【三創生活】開發工程師(ASP、.net、C#) ,11/13,待遇面議,三創數位股份有限公司,全職,台北市中正區市民大道三段2號
2620,軟體技術工程師（前端 F2E） ,11/08,"月薪50,000元以上",富爾特科技股份有限公司,全職,新北市新店區寶強路6-3號5樓
2621,【應屆畢業】SW Engineer– Windows System Performance (Taipei) (3053221) ,11/15,待遇面議,Qualcomm Semiconductor Corporation_高通半導體有限公司,全職,台北市內湖區東區展業二路16-1號
2622,2024 兒童程式營隊工作人員(冬令營) ,11/16,時薪185~400元,猿創力程式設計學校_壞主意股份有限公司,兼職,台北市松山區台北市松山區延壽街374號
2623,AI技術支援人員-資料處理整理分析 ,11/14,待遇面議,年頡科技股份有限公司,全職,台北市內湖區基湖路10巷46號5樓
2624,ML Engineer機器學習工程師 ,04/27,待遇面議,Taiwan AI Labs_雅婷智慧股份有限公司,全職,台北市大同區承德路1段70號15樓
2625,AI 應用開發工程師(竹科) ,11/14,待遇面議,晶元光電股份有限公司(晶電),全職,新竹市力行路21號
2626,PPA｜系統開發部｜資料工程師 ,11/09,"年薪500,000~700,000元",PressPlay_瑞奧股份有限公司,全職,台北市大同區西寧北路
2627,Back-End Developer 後端工程師【台南市新營區】 ,11/15,"月薪33,000~60,000元",萬點國際有限公司,全職,台南市新營區
2628,DevOps軟體工程師 ,11/01,待遇面議,Phison Electronics Corp_群聯電子股份有限公司,全職,苗栗縣竹南鎮群義路1號
2629,【資訊類】Oracle ERP 整合工程師（桃園廠） ,11/16,待遇面議,景碩科技股份有限公司,全職,桃園市新屋區中華路1245號
2630,網路程式設計師 ,10/16,"月薪40,000~55,000元",Easytravel_四方通行旅行社股份有限公司,全職,高雄市苓雅區新光路38號25樓之1
2631,資料分析高級工程師 ,11/15,待遇面議,台郡科技股份有限公司(總公司),全職,高雄市大寮區上發五路一號
2632,軟體工程師 ,11/15,待遇面議,大銀微系統股份有限公司_HIWIN MIKROSYSTEM,全職,台中市南屯區精科中路6號
2633,Cloud Software Quality Engineer ,11/17,待遇面議,Synology_群暉科技股份有限公司,全職,新北市板橋區遠東路1號9樓
2634,BIOS Testing Engineer 韌體測試工程師 ,11/13,待遇面議,荷蘭商萊博智科技股份有限公司台灣分公司,全職,台北市南港區
2635,System Modeling Architect ,11/16,待遇面議,聯發科技股份有限公司,全職,新竹市篤行一路1號
2636,系統工程師 ,11/06,待遇面議,火龍數位科技遊戲有限公司,全職,台北市內湖區行善路132號4樓
2637,(M04)Senior MLOps Engineer ,11/15,待遇面議,飛捷科技股份有限公司,全職,台北市內湖區行愛路168號
2638,Junior Backend Engineer ,11/16,待遇面議,晶睿通訊股份有限公司_台達電子集團,全職,新北市中和區
2639,Android QA Engineer測試工程師_視訊事業部(台北) ,11/14,待遇面議,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,全職,台北市內湖區瑞光路186號
2640,AI FAE工程師 ,10/30,"月薪35,000~50,000元",慧演智能股份有限公司,全職,台中市大里區中興路一段159之一號3樓
2641,高雄軟體園區-資料平台開發工程師/資料工程 ,11/16,待遇面議,鴻海精密工業股份有限公司,全職,高雄市前鎮區成功二路25號
2642,Site Reliability Engineer 網站可靠性工程師 ,11/07,待遇面議,保克曼有限公司,全職,台北市內湖區洲子街105號5樓
2643,EN10397 自動化測試程式開發工程師(伺服器) ,10/25,"月薪30,000元以上",華碩電腦股份有限公司,全職,台北市北投區
2644,BLT-軟體開發工程師/資深研發工程師 ,11/09,待遇面議,緯穎科技服務股份有限公司,全職,新北市汐止區新台五路一段90號8樓
2645,實習生/工讀生 ,11/16,時薪180~200元,嚮樂科技股份有限公司,全職,台北市內湖區石潭路67號8樓
2646,Machine Learning Engineer ,08/28,待遇面議,Taiwan AI Labs_台灣醫學影像股份有限公司,全職,台北市大同區
2647,CV Toolchain and NN Optimization Engineer ,09/12,待遇面議,安霸股份有限公司,全職,新竹市力行一路1號1樓C1
2648,"【數位驅動】資料科學工程師(數數發中心,DDT) ",11/17,待遇面議,國泰世華商業銀行股份有限公司_人力資源部,全職,台北市信義區
2649,PHP後端工程師 ,11/17,待遇面議,冶金數位科技有限公司,全職,台中市西屯區市政路402號13樓之B室
2650,資料分析專員 ,10/05,"月薪39,500~41,800元",上海商業儲蓄銀行股份有限公司,全職,台北市中山區台北市民生東路二段149號
2651,智慧設計軟體工程師 ,10/31,待遇面議,CHPT_中華精測科技股份有限公司,全職,桃園市平鎮區工業三路12號
2652,紅隊研究暨研發工程師 ,10/23,待遇面議,中華資安國際股份有限公司,全職,台北市中正區杭州南路一段26號8樓
2653,Quality Assurance Engineer ,11/14,"月薪60,000元以上",創順科技有限公司,全職,"台北市內湖區瑞光路266號,268號6樓"
2654,科技金融_資料科學家/深度學習演算法工程師(電腦視覺/應屆畢業可) ,11/16,待遇面議,中國信託商業銀行股份有限公司,全職,"台北市南港區經貿二路168號 (中國信託南港總部,捷運板南線及文湖線均可直達)"
2655,軟體工程師 ,11/16,"月薪40,000~100,000元",覺揚股份有限公司,全職,花蓮縣花蓮市建成街126號
2656,後端工程師 golang ,10/26,待遇面議,艾爾默科技股份有限公司,全職,台北市大安區忠孝東路4段
2657,資深軟體工程師_12591 ,11/13,待遇面議,和碩集團_和碩聯合科技股份有限公司,全職,台北市北投區立功街76號
2658,系統應用工程師(音訊/電源) ,11/16,待遇面議,晶豪科技股份有限公司,全職,台南市中西區西門路一段701號8樓
2659,資深AI軟體工程師 ,11/16,待遇面議,閎康科技股份有限公司,全職,新竹市新竹科學園區力行一路1號(1A3)
2660,全端軟體工程師 (FullStack - Backend + Frontend開發) ,11/08,"月薪40,000元以上",優佳隆科技股份有限公司,全職,台北市大安區，全遠端工作，不用進辦公室
2661,Software R&D Intern 軟體研發實習生【Quanta Vision 2023實習生計畫】 ,11/15,時薪200元以上,光大科技股份有限公司,兼職 - 長期工讀,台北市大安區(最近捷運站公館站)
2662,運維工程師 ,11/06,待遇面議,天空八八科技有限公司,全職,台北市士林區
2663,(052)【高雄軟體研發中心專區】-【新幹班】- 資料科學家 ,11/15,待遇面議,鴻海精密工業股份有限公司,全職,高雄市前鎮區高軟
2664,【海外派駐】智能製造自動化軟體工程師 ,11/14,待遇面議,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,全職,其他亞洲
2665,(HQ) Senior DevOps Engineer ,11/13,待遇面議,鴻霖航空貨運代理股份有限公司,全職,台北市內湖區
2666,運維工程師 ,11/06,待遇面議,天空八八科技有限公司,全職,台北市士林區
2667,網路系統工程師 ,11/14,"月薪40,000~60,000元",普藍地科技股份有限公司,全職,台北市中正區愛國東路22號5樓
2668,【海外派駐】智能製造自動化軟體工程師 ,11/14,待遇面議,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,全職,其他亞洲
2669,元大證券-風險管理部-風險管理人員(海外風控)  ,10/06,待遇面議,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),全職,台北市中山區南京東路二段77號11樓
2670,[ADN] 應用支付資安 助理工程師 (台北) ,11/14,"月薪32,000~40,000元",動力安全資訊股份有限公司,全職,台北市內湖區行愛路77巷16號4樓
2671,統一超商電子商務資深後端軟體工程師(eCommerce Senior Backend Engineer) ,11/15,"月薪50,000~120,000元",統一超商股份有限公司,全職,台北市信義區東興路65號
2672,軟/軔體研發工程師(或Team Leader) ,11/07,待遇面議,赫揚科技股份有限公司,全職,新北市新店區寶中路94號8樓之2
2673,國外產品顧問資深助理(美國) Senior Sales Assistant -US ,11/15,"月薪36,000~50,000元",高柏科技股份有限公司,全職,桃園市桃園區大仁路50巷33號/12號
2674,6S元富證券-數據分析人員 ,11/13,待遇面議,元富證券股份有限公司,全職,台北市大安區敦化南路二段97號18樓
2675,AI實習生 ,11/12,時薪200元以上,沙漠魚科技股份有限公司,兼職,台北市大安區敦化南路二段99號3樓
2676,程控工程師 ,11/10,"月薪37,700~40,000元",中龍鋼鐵股份有限公司,全職,台中市龍井區龍昌路100號
2677,資料工程師_資訊處(台北) ,11/14,待遇面議,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,全職,台北市內湖區瑞光路186號
2678,Engineering Manager ,11/01,"年薪2,000,000~3,000,000元",群馥科技股份有限公司,全職,台北市中正區武昌街一段 77 號 5 樓
2679,MA-TE_雲端網路工程師(台南) ,11/09,"月薪34,000~60,000元",緯穎科技服務股份有限公司,全職,台南市安定區北園三路8號
2680,【team leader】Senior Java 工程師 ,11/15,"年薪1,000,000~2,500,000元",澄映科技有限公司,全職,台北市內湖區瑞光路
2681,Data Chapter_Business Analyst ,11/13,待遇面議,星展(台灣)商業銀行股份有限公司,全職,台北市內湖區
2682,Data Engineer | CBU_10_12 ,11/16,待遇面議,伊雲谷數位科技股份有限公司,全職,新北市三重區三和路四段111之32號7樓
2683,【研究發展處】Senior Big Data Engineer /資深資料工程師 ,11/15,"月薪50,000元以上",現觀科技股份有限公司,全職,台北市中山區中山北路二段42號2樓
2684,後端工程師(Backend Engineer) ,11/09,"月薪45,000~80,000元",樂創媒體股份有限公司,全職,台北市大安區復興南路一段283號4樓
2685,系統工程師 System Engineer/ MIS工程師 ,11/15,"月薪35,000~45,000元",哇寶國際資訊股份有限公司,全職,台北市南港區南港路三段47巷8號10樓
2686,Java資深網頁後端工程師 ,11/17,"年薪1,000,000~1,500,000元",核果智能科技股份有限公司,全職,台北市松山區南京東路四段2號
2687,MIS網管工程師 ,11/15,待遇面議,鉅眾資產管理顧問股份有限公司,全職,台中市南屯區文心路一段521號5樓
2688,指令工程師(Prompt Engineer) ,10/28,待遇面議,聚愢科技股份有限公司,全職,台北市中山區松江路363號11樓
2689,資訊部網頁前端工程師 ,11/13,"月薪35,000~70,000元",童綜合醫療社團法人童綜合醫院,全職,台中市梧棲區臺灣大道八段699號
2690,TA4160 資深 AI 工程師／邊緣運算專家 ,11/07,待遇面議,致伸科技股份有限公司,全職,台北市內湖區瑞光路669號
2691,AI R&D Data Engineer (Visual Document Intelligence) ,11/15,"年薪800,000元以上",美商昇迪凡科技術有限公司台灣分公司,全職,台北市信義區忠孝東路五段68號19樓
2692,數據分析師 - Google Analytics ,11/01,"月薪38,000~48,000元",英屬開曼群島商雲數位智能行銷有限公司台灣分公司,全職,台北市松山區民權東路3段170號10樓
2693,專案管理組-專案經理 ,11/01,待遇面議,財團法人醫藥品查驗中心,全職,台北市南港區忠孝東路六段465號3樓
2694,軟體開發人員 ,11/13,"月薪45,000~65,000元",智網通科技股份有限公司,全職,台北市大安區基隆路二段112號9樓
2695,(16C0)BMC資深/主任工程師_南港 ,11/13,待遇面議,神準科技股份有限公司,全職,台北市南港區南港路一段209號(B棟)
2696,AI大數據分析師 ,11/15,"年薪500,000元以上",網威智慧科技股份有限公司,全職,台北市內湖區港墘路200號7樓
2697,台北｜軟體開發部｜Senior Backend Engineer 資深後端工程師 ,11/09,"年薪1,200,000~1,800,000元",汪喵星球_自力耕生股份有限公司,全職,台北市信義區
2698,程式設計工程師 ,11/07,"月薪38,000~42,000元",天微資訊股份有限公司,全職,台北市信義區東興路51號10樓
2699,研發替代役--先進機器人研發工程師 ,11/15,待遇面議,大立光電股份有限公司,全職,台中市南屯區精科路11號
2700,伺服器FPGA/CPLD研發工程師_內湖_00552 ,11/16,待遇面議,緯創資通股份有限公司,全職,台北市內湖區
2701,服務後端軟體工程師 ,11/07,待遇面議,華捷智能股份有限公司,全職,台北市內湖區行愛路69號5樓
2702,遊戲軟體設計工程師 ,11/15,"月薪40,000~60,000元",博敦電子股份有限公司,全職,高雄市三民區灣興街55巷2號
2703,F2811205-電性工程師 ,11/16,"月薪40,000~65,000元",旺矽科技股份有限公司,全職,新竹縣竹北市中和街155號
2704,數據應用部-資深數據分析應用人員 ,11/15,待遇面議,永豐商業銀行股份有限公司,全職,台北市中山區台北市中山區建國北路二段9-1號
2705,軟體工程師 ,11/14,"月薪35,000~60,000元",翊洋科技股份有限公司,全職,新北市三重區光復路一段83巷1號10樓
2706,(學生實習) Intern/ Co-Op/ IT ,11/16,時薪250元,美商超微半導體股份有限公司台灣分公司,兼職 - 長期工讀,台北市南港區南港區經貿一路170號19樓
2707,AWS 雲端架構師(Data) ,11/14,待遇面議,博弘雲端科技股份有限公司,全職,台北市中山區樂群二路267號6樓9
2708,Web/App後端設計工程師 ,11/14,待遇面議,皓博科技股份有限公司,全職,台北市信義區忠孝東路五段508號20樓-3
2709,資訊部門-機器學習工程師(台北地區) ,11/15,"月薪38,000~65,000元",台中商業銀行股份有限公司,全職,台北市中正區
2710,PHP資深網頁後端工程師 ,11/17,"年薪900,000~1,500,000元",核果智能科技股份有限公司,全職,台北市松山區南京東路四段2號
2711,ITRI_EOSL_AI Algorithm Engineer (P400) ,11/13,"月薪55,000元以上",工研院 _財團法人工業技術研究院,全職,新竹縣竹東鎮
2712,AZ0200-軟體應用工程師(高雄) ,11/14,待遇面議,QNAP_威聯通科技股份有限公司,全職,高雄市三民區博愛一路55號
2713,技術支援類: Design Verification Application Engineer(UVM) ,09/04,待遇面議,"Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",全職,新竹市
2714,RTE軟體開發工程師 0608D ,11/01,待遇面議,Phison Electronics Corp_群聯電子股份有限公司,全職,苗栗縣竹南鎮
2715,Machine Learning Engineer ,10/30,"月薪70,000~120,000元",實見有限公司,全職,新北市新店區寶橋路
2716,NLP Engineer _Delta Research Center (HsinChu / Taipei) ,11/14,待遇面議,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,全職,新竹市光復路二段321號 (或台北市內湖區瑞光路186號)
2717,"資料科學工程師 （Data Science R&D）- 智慧醫療應用開發 - 資料科學研發 (數數發中心, DDT) ",11/09,待遇面議,國泰金控_國泰金融控股股份有限公司,全職,台北市信義區松仁路7號
2718,【醫】資訊工程師 ,11/13,"月薪28,000~45,000元",立康生物科技股份有限公司,全職,台南市永康區環工路29號
2719,後端工程師 Backend Engineer ,11/14,"月薪37,000~45,000元",瑞思資訊股份有限公司,全職,台中市北區忠明路424號8F之1
2720,MyGo Proptech/Fintech 區塊鏈軟體工程師 ,11/13,待遇面議,MyGo商學苑_平安房屋仲介股份有限公司,全職,台北市中山區長春路176號4樓
2721,後端工程師 ,11/06,待遇面議,享奕軟體開發有限公司,全職,台中市北區立人里陝西路108號3樓之1
2722,前端網頁實習生 ,11/09,論件計酬0元,勝特整合行銷傳播有限公司,兼職 - 長期工讀、短期工讀,台北市松山區南京東路3段287號2樓
2723,BONNY&READ 電子商務網站數據分析師 ,11/14,"月薪30,000~37,000元",邦尼利得國際實業股份有限公司,全職,高雄市三民區博愛一路28號14樓
2724,[伺服器自動化測試]軟體研發工程師 ,11/16,待遇面議,鴻海精密工業股份有限公司,全職,新北市土城區近頂埔捷運站
2725,產品經理 Product Manager (Product Owner) ,11/17,待遇面議,"Linker Vision Co., Ltd._鑫蘊林科股份有限公司",全職,台北市大安區忠孝東路三段136號9樓之5
2726,MIS硬體及網路管理工程師 ,11/16,待遇面議,億豐綜合工業股份有限公司,全職,台中市西屯區市政北七路98號23樓之1
2727,"Sports Data Scientist (TensorFlow, Keras) ",11/15,待遇面議,天能資訊有限公司,全職,台北市內湖區
2728,充電軟體專案管理師(特爾電力_台北辦公室) ,11/17,待遇面議,三地能源股份有限公司,全職,台北市中山區中山北路二段44號 4樓（B室）
2729,R1: 硬體研發工程師-120 ,11/15,待遇面議,德律科技股份有限公司,全職,台北市士林區德行西路45號7樓
2730,QA(測試)工程師(高雄辦公室) ,11/17,待遇面議,云桐科技有限公司,全職,高雄市左營區高雄市左營區博愛二路366號15樓之3
2731,軟體專案經理 Software Project Manager ,11/14,"月薪50,000元以上",資旅軟體開發有限公司,全職,高雄市前金區高雄市前金區中正四路211號16樓之一
2732,"數據工程師 Data Engineer -數據科技(數數發中心, DDT) ",11/09,待遇面議,國泰金控_國泰金融控股股份有限公司,全職,台北市信義區松仁路7號
2733,【全職】機器人程式課程講師 / 儲備幹部 ,11/10,"月薪40,000元以上",光點創意樂高機器人創客中心_悠實國際數位有限公司,全職,新北市板橋區四維路177巷4弄20號 (近捷運新埔民生站、捷運新埔站)
2734,AI影像辨識應用工程師 ,11/15,待遇面議,鼎漢國際工程顧問股份有限公司,全職,台北市信義區松山路130號5樓
2735,Optical Product Development Engineer(Job Ref. Apply-TW-2211-OPDE) ,10/31,待遇面議,台灣雲暉科技有限公司,全職,新北市中和區連城路268號14樓之一、之二
2736,系統架構師 System Architect ,11/14,待遇面議,偉康科技股份有限公司,全職,台北市松山區南京東路五段161號4樓
2737,Computer Vision Compiler Engineer ,09/12,待遇面議,安霸股份有限公司,全職,新竹市力行一路1號1樓C1
2738,"【數位驅動】雲端數據工程師(數數發中心, DDT)(高雄) ",11/17,待遇面議,國泰世華商業銀行股份有限公司_人力資源部,全職,高雄市前鎮區
2739,元大金控-金融商品分析／財務工程人員 ,10/17,待遇面議,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),全職,台北市松山區
2740,資深後端工程師 ,11/08,待遇面議,竣盟科技股份有限公司,全職,台北市中山區台北市中山區松江路129號6樓
2741,測試工程師 (榮興自動化科技 ) ,11/15,"月薪36,000~55,000元",榮興工業股份有限公司,全職,台南市歸仁區歸仁十三路一段160號5樓之2(國立陽明交通大學台南校區致遠樓)
2742,軟體開發工程師 ,11/13,待遇面議,崴遠科技股份有限公司,全職,新北市中和區中正路738號7樓之4 (遠東世紀廣場B棟)
2743,113年研發替代役 - 產品測試程式開發工程師 ,11/15,待遇面議,旺宏電子股份有限公司,全職,新竹市力行路16號
2744,RD20139 資深後端軟體工程師 ,05/17,待遇面議,華碩電腦股份有限公司,全職,台南市中西區
2745,機構研發工程師 ,11/15,待遇面議,Gogoro Taiwan Limited_睿能創意股份有限公司,全職,桃園市龜山區頂湖路33號 (近林口長庚)
2746,語音與音訊演算法工程師 (Speech and Audio Algorithm Engineer)_竹北 ,11/07,待遇面議,英屬開曼群島商意騰科技股份有限公司台灣分公司,全職,新竹縣竹北市復興三路二段168號11F
2747,【113年度研發替代役】PA0496 深度學習工程師(車用電子/內湖) ,10/18,待遇面議,仁寶電腦工業股份有限公司,全職,台北市內湖區瑞光路581號(114)
2748,風險管理處-行為風險控管人員 ,11/15,待遇面議,永豐商業銀行股份有限公司,全職,台北市中山區建國北路二段
2749,資訊部-JAVA程式開發人員 ,11/13,"月薪30,000~55,000元",兆豐產物保險股份有限公司,全職,台北市中正區武昌街一段58號7樓
2750,AI工程師 (AI Engineer) ,09/05,待遇面議,卡洛地股份有限公司,全職,台北市內湖區
2751,研發替代役_工研院生醫所_醫療資訊系統工程師(M200) ,11/15,待遇面議,工研院 _財團法人工業技術研究院,全職,新竹縣竹東鎮中興路四段195號
2752,新竹｜軟體開發部｜Senior Backend Engineer 資深後端工程師 ,11/09,"年薪1,200,000~1,800,000元",汪喵星球_自力耕生股份有限公司,全職,新竹市東區光復路二段
2753,工程師(資訊人員)－後量子密碼學實驗室(楊柏因老師、周彤老師、鐘楷閔老師) ,11/06,"月薪39,842~92,605元",中央研究院資訊科學研究所,全職,台北市南港區研究院路二段128號(中研院資訊所)
2754,「台灣圖霸」資深研發工程師 ,11/12,待遇面議,研鼎智能股份有限公司,全職,台北市內湖區港墘路200號4樓
2755,【日本東京】軟體駐廠工程師 （需具備日文能力） ,11/10,待遇面議,スマカン株式会社,全職,日本東京都品川区南大井6-26-2 大森ベルポートB館 8F
2756,【產品開發】PHP Laravel 網頁後端工程師 ,11/12,"月薪35,000元以上",一踢科技系統整合有限公司,全職,台北市中山區中山北路二段103號7樓-3
2757,麥塊程式課程講師 ,11/17,"日薪1,800元",艾登才藝中心_森楊文化有限公司,兼職 - 短期工讀,台北市松山區
2758,前端網頁實習生-學生實習(需配合學校簽約) ,11/17,論件計酬0元,亞瑞特數位社群行銷有限公司,兼職,台北市松山區東興路28號11樓
2759,技術工程類 - 軟體設計工程師 - 財務資訊系統【高雄】 ,11/07,"月薪35,000~60,000元",日月光半導體製造股份有限公司,全職,高雄市楠梓區經三路26號
2760,R-軟韌體設計工程師(System Integration R&D unit) ,11/17,待遇面議,達擎股份有限公司,全職,新竹市科學園區工業東三路1號
2761,【AI+】前端工程師 - 2IR100 ,11/15,待遇面議,精誠資訊股份有限公司,全職,台北市內湖區瑞光路318號
2762,生物資訊分析研究員 ,11/10,"月薪40,000元以上",百歐精準生物醫學股份有限公司,全職,台中市南屯區精科南路99號4樓-6與4樓之7
2763,[MTM03] DevOps Engineer ,11/14,待遇面議,美商美創資通股份有限公司台灣分公司,全職,台北市中山區松江路
2764,應用與售後服務工程師 ,11/14,"月薪45,000元以上",美商微控有限公司,全職,新竹縣竹北市復興一街
2765,【AI+】前端工程師 - 2IR100 ,11/15,待遇面議,精誠資訊股份有限公司,全職,台北市內湖區瑞光路318號
2766,Data Scientist (士林) ,11/15,"月薪60,000~200,000元",Inventec_英業達股份有限公司,全職,台北市士林區承德路四段166號
2767,自動化測試工程師 ,07/22,"月薪30,000~60,000元",永鼎數位科技有限公司,全職,台中市西區台灣大道二段285號
2768,Junior Software Engineer ,11/10,待遇面議,瞬聯科技股份有限公司,全職,台北市大安區和平東路二段339號6樓
2769,軟體工程師 ,11/07,待遇面議,博倫思先進股份有限公司,全職,台北市中山區天祥路
2770,Frontend Engineer 前端軟體工程師 ,10/13,待遇面議,圖策科技股份有限公司,全職,台北市松山區光復南路65號13樓
2771,AI IP CAM 軟韌體工程師-竹科(9A1) ,11/15,"月薪40,000元以上",盟立自動化股份有限公司,全職,新竹市新竹科學園區研發二路3號
2772,專案規劃師-台北 ,11/14,待遇面議,宸訊科技股份有限公司,全職,台北市內湖區新湖三路125號3樓
2773,【急徵】 數位電視管理平台開發工程師 ,11/13,待遇面議,昇詮科技股份有限公司,全職,新竹市香山區中華路四段181巷33號
2774,6S元富證券-公司債交易員 ,11/16,待遇面議,元富證券股份有限公司,全職,台北市大安區敦化南路二段97號19樓
2775,【風管總合風險】市場風險財工資深人員 ,11/10,待遇面議,遠東國際商業銀行股份有限公司,全職,台北市大安區敦化南路二段207號26樓
2776,數據分析師/數據工程師(歡迎應屆畢業生) ,11/14,"月薪35,000元以上",KUMON公文式教育_孔孟文化事業有限公司,全職,台北市中山區民權西路48號5樓
2777,【資訊】系統測試工程師 ,11/17,待遇面議,群益金鼎證券股份有限公司,全職,台北市松山區民生東路三段156號13F
2778,全端工程師 Full-Stack Engineer ,11/14,待遇面議,資旅軟體開發有限公司,全職,高雄市前金區中正四路211號16樓之一(華國金融大樓)
2779,"[JR0019815] Production Engineer, Edge Systems ",11/07,待遇面議,Yahoo_香港商雅虎資訊股份有限公司,全職,台北市南港區三重路66號14樓
2780,軟體自動測試工程師(B2500A) ,11/09,待遇面議,智邦科技股份有限公司,全職,新竹市研新三路1號(新竹科學工業園區)
2781,助理工程師 GPT Engineer (工讀、實習、畢業生可) ,11/13,待遇面議,數據雲科技股份有限公司,全職,台北市大安區光復南路438號
2782,助理工程師 GPT Engineer (工讀、實習、畢業生可) ,11/13,待遇面議,數據雲科技股份有限公司,全職,台北市大安區光復南路438號
2783,軟體開發工程師(LD) ,11/17,待遇面議,大立光電股份有限公司,全職,台中市南屯區精科路11號
2784,【工業4.0】智慧系統程式開發工程師 (S1) ,11/15,"月薪32,000~70,000元",欣興電子股份有限公司,全職,桃園市龜山區山鶯路177號
2785,[網通]系統軟體工程師 (大溪) ,11/16,待遇面議,Inventec_英業達股份有限公司,全職,桃園市大溪區仁和路二段349號
2786,【研究發展處】演算法開發工程師 ,11/15,待遇面議,現觀科技股份有限公司,全職,台北市中山區中山北路二段42號2樓
2787,【資訊部】實習生/工讀生 ,11/17,時薪176元,群益金鼎證券股份有限公司,兼職 - 長期工讀、短期工讀,台北市松山區民生東路三段156號13F
2788,網頁前端工程師 ,11/13,"月薪40,000~45,000元",區塊科技股份有限公司,全職,台北市中山區松江路309號11樓
2789,資訊系統工程師 ,11/16,"月薪60,000元以上",國立臺灣師範大學_資訊工程學系,全職,台北市大安區和平東路一段162號 (台灣師範大學資訊中心)
2790,工研院機械所-AI軟體研發工程師(自駕車、機器人) ,11/13,待遇面議,工研院 _財團法人工業技術研究院,全職,新竹縣竹東鎮中興路四段195號
2791,工研院機械所-自駕車模擬驗證工程師(D300) ,11/13,待遇面議,工研院 _財團法人工業技術研究院,全職,新竹縣竹東鎮中興路四段195號
2792,SSD Firmware Engineer (Taipei) ,08/16,待遇面議,憶鎰科技有限公司,全職,台北市內湖區
2793,BIM/API 研發工程師 ,11/09,待遇面議,林同棪工程顧問股份有限公司,全職,台北市大安區仁愛路三段136號1202室
2794,軟體產品經理 SW Product Manager (企業應用) ,11/17,待遇面議,奧圖碼股份有限公司,全職,新北市新店區北新路三段213號12樓
2795,R&D 研發軟體工程師 ,08/28,待遇面議,梭特科技股份有限公司,全職,新竹縣竹北市台元二街6號7樓
2796,『新鮮人實習方案』 雲端客戶助理架構師 Google Cloud Architect Associate【Epic Cloud 聚上雲-雲端服務處】 ,11/17,時薪185元以上,邁達特數位股份有限公司,兼職,台北市內湖區內湖路一段516號10樓
2797,專案駐點美商高通(Qualcomm)Linux Engineer (Linux工程師) (期滿續約或遇缺轉任高通正職)【BU2-BAQ】 ,11/17,"月薪50,000~80,000元",敦陽科技股份有限公司,全職,台北市內湖區美商高通
2798,國網中心編制徵才_空間資訊技術研發人員1名(NCHC_112_03_03) ,11/17,待遇面議,財團法人國家實驗研究院,全職,新竹市研發六路七號
2799,品質工程師 Quality Engineer (軟體測試工程師) ,11/15,"月薪55,000~85,000元",iCHEF_資廚管理顧問股份有限公司,全職,台北市大安區仁愛路三段136號15樓
2800,高雄軟體園區-資料平台開發工程師/資料工程 ,11/13,待遇面議,鴻佰科技股份有限公司,全職,高雄市前鎮區成功二路25號
